student_id,age,engagement_level,task_type,task_difficulty,time_spent_on_task,accuracy_of_responses,emotion_score,frustration_level,skill_gap,personalized_feedback,optimized_learning_path,learning_progress,progress_category
1,16,8.28,Speaking,Hard,224,54,0.77,3,Vocabulary,Improve pronunciation.,Listening → Speaking → Writing,23.41,Low
1,13,7.65,Speaking,Easy,472,76,-0.54,0,Pronunciation,Practice grammar rules.,Writing → Reading → Listening,31.58,Low
1,14,5.74,Writing,Easy,332,53,0.41,6,Grammar,Improve pronunciation.,Writing → Reading → Listening,24.91,Low
1,16,9.56,Grammar,Medium,77,96,-0.21,9,Grammar,Practice grammar rules.,Writing → Reading → Listening,41.41,Medium
1,12,2.0,Reading,Medium,150,62,-0.76,1,Grammar,Improve pronunciation.,Listening → Speaking → Writing,25.39,Low
1,17,1.09,Reading,Easy,528,66,0.53,6,Vocabulary,Good progress.,Listening → Speaking → Writing,27.83,Low
1,14,8.54,Grammar,Medium,591,70,-0.67,5,None,Focus on synonyms.,Listening → Speaking → Writing,35.38,Low
1,14,4.39,Writing,Easy,498,72,-0.49,3,Pronunciation,Practice grammar rules.,Writing → Reading → Listening,33.84,Low
1,16,8.47,Writing,Hard,70,82,0.57,10,Vocabulary,Focus on synonyms.,Reading → Grammar → Speaking,26.57,Low
1,11,8.93,Writing,Medium,485,99,0.48,1,Vocabulary,Improve pronunciation.,Writing → Reading → Listening,38.75,Low
2,12,0.62,Reading,Medium,563,64,-0.49,6,Grammar,Focus on synonyms.,Reading → Grammar → Speaking,29.11,Low
2,16,8.83,Speaking,Medium,400,63,0.88,6,None,Good progress.,Listening → Speaking → Writing,41.16,Medium
2,12,4.48,Writing,Hard,211,58,-0.57,4,Pronunciation,Good progress.,Listening → Speaking → Writing,21.87,Low
2,12,5.1,Reading,Hard,546,93,0.99,8,Pronunciation,Focus on synonyms.,Writing → Reading → Listening,31.44,Low
2,17,6.27,Reading,Medium,260,86,0.48,2,Grammar,Focus on synonyms.,Reading → Grammar → Speaking,48.47,Medium
2,14,9.26,Speaking,Easy,377,79,-0.21,8,Pronunciation,Good progress.,Listening → Speaking → Writing,40.91,Medium
2,13,0.19,Grammar,Hard,508,78,-0.74,4,None,Practice grammar rules.,Listening → Speaking → Writing,37.86,Low
2,17,4.77,Grammar,Medium,238,72,-0.36,1,Grammar,Practice grammar rules.,Writing → Reading → Listening,31.68,Low
2,17,6.88,Writing,Medium,307,83,-0.61,8,Grammar,Good progress.,Writing → Reading → Listening,35.21,Low
2,12,7.23,Writing,Hard,82,56,0.24,0,None,Good progress.,Writing → Reading → Listening,24.86,Low
3,15,6.93,Speaking,Easy,39,58,-0.29,0,Pronunciation,Practice grammar rules.,Reading → Grammar → Speaking,30.08,Low
3,14,1.34,Writing,Medium,493,99,-0.41,6,None,Focus on synonyms.,Reading → Grammar → Speaking,46.66,Medium
3,11,2.99,Speaking,Easy,187,53,0.51,2,Pronunciation,Focus on synonyms.,Listening → Speaking → Writing,23.71,Low
3,17,3.59,Reading,Easy,48,51,-0.54,7,Pronunciation,Improve pronunciation.,Writing → Reading → Listening,25.65,Low
3,13,8.04,Writing,Hard,84,76,0.17,6,Pronunciation,Practice grammar rules.,Listening → Speaking → Writing,40.17,Medium
3,15,2.79,Reading,Medium,50,82,-0.61,10,None,Good progress.,Reading → Grammar → Speaking,38.33,Low
3,15,2.11,Listening,Medium,311,81,0.43,6,None,Improve pronunciation.,Listening → Speaking → Writing,36.35,Low
3,11,9.57,Speaking,Easy,569,93,0.25,0,Vocabulary,Focus on synonyms.,Listening → Speaking → Writing,37.46,Low
3,17,0.09,Listening,Hard,446,94,0.6,0,None,Practice grammar rules.,Writing → Reading → Listening,35.37,Low
3,13,9.98,Writing,Hard,314,95,-0.86,1,Grammar,Improve pronunciation.,Listening → Speaking → Writing,33.27,Low
4,14,6.77,Reading,Hard,561,86,-0.58,1,Grammar,Focus on synonyms.,Writing → Reading → Listening,39.26,Low
4,10,8.28,Writing,Easy,561,76,-0.69,10,Grammar,Good progress.,Listening → Speaking → Writing,33.45,Low
4,13,2.95,Listening,Easy,540,77,-0.62,4,Grammar,Focus on synonyms.,Listening → Speaking → Writing,38.65,Low
4,11,0.14,Writing,Medium,425,52,-0.79,8,Vocabulary,Focus on synonyms.,Reading → Grammar → Speaking,23.33,Low
4,15,7.38,Grammar,Hard,149,85,0.12,6,None,Practice grammar rules.,Reading → Grammar → Speaking,34.99,Low
4,14,8.34,Listening,Easy,126,98,0.19,1,None,Good progress.,Listening → Speaking → Writing,40.18,Medium
4,13,7.4,Writing,Hard,149,100,0.69,4,Pronunciation,Practice grammar rules.,Listening → Speaking → Writing,44.55,Medium
4,10,1.43,Reading,Easy,566,92,-0.16,4,None,Good progress.,Writing → Reading → Listening,39.09,Low
4,10,7.53,Writing,Medium,182,57,0.06,7,Pronunciation,Improve pronunciation.,Reading → Grammar → Speaking,34.47,Low
4,12,7.69,Reading,Hard,274,93,0.98,8,Pronunciation,Focus on synonyms.,Reading → Grammar → Speaking,39.16,Low
